company,owner,phone,website,email,location,source
Act II Boutique,,+12038696359,http://actiiboutiquect.localsearch.com,,"Greenwich, CT",yellowpages
Zara,,+12038617411,https://www.zara.com/us,,"Greenwich, CT",yellowpages
Pamela Ferrari Boutique,,+12038611925,http://pamelaferrariboutique.localsearch.com,,"Greenwich, CT",yellowpages
LoveShackFancy,,+12036297915,https://www.loveshackfancy.com/pages/greenwich-store-page,,"Greenwich, CT",yellowpages
Mangano Boutique,,+12036254564,http://manganoboutique.localsearch.com,,"Greenwich, CT",yellowpages
Pinky Pinky,,+12035048737,http://pinkyofgreenwich.com,,"Greenwich, CT",yellowpages
Renaissance Technology Corp,,+12034226820,http://renaissancetechnologycorpct.localsearch.com,,"Greenwich, CT",yellowpages
Julia Boutique,,+12034222216,http://juliaboutique.localsearch.com,,"Greenwich, CT",yellowpages
L F Stores,,+12036296193,http://lfstores.com,,"Greenwich, CT",yellowpages
Courageb,,+12034225660,http://couragebct.localsearch.com,,"Greenwich, CT",yellowpages
Richards,,+12036220551,http://www.mitchellstores.com,,"Greenwich, CT",yellowpages
