company,owner,phone,website,email,location,source
Eco Polish Boutique,,+17074308422,https://www.eco-polishboutique.com,,"Napa, CA",yellowpages
Wunder,,+17072577527,http://wunder.localsearch.com,,"Napa, CA",yellowpages
Muguette Renee Boutique,,+17078169408,https://muguette-rinaldi.squarespace.com/contact,,"Napa, CA",yellowpages
Boutique Air,,+17076909197,http://boutiqueairca.localsearch.com,,"Napa, CA",yellowpages
Lemondrops Childrens Boutique,,+17076374489,http://lemondropschildrensboutique.localsearch.com,,"Napa, CA",yellowpages
Crystal Boutique,,+17079275427,http://krystalsboutique.localsearch.com,,"Napa, CA",yellowpages
The Playful Garden,,+17072588880,http://theplayfulgarden.localsearch.com,,"Napa, CA",yellowpages
Betty's Girl Boutique,,+17072547560,https://www.bettysgirlnapa.com/couture-design,,"Napa, CA",yellowpages
Max Studio,,+17072261432,http://www.maxstudio.com,,"Napa, CA",yellowpages
Francesca's,,+17072601013,https://francescas.com,,"Napa, CA",yellowpages
