company,owner,phone,website,email,location,source
Goolrukh Vakil,,+16505210227,http://goolrukhvakil.localsearch.com,,"Palo Alto, CA",yellowpages
Premier Boutique,,+16503266544,http://www.premierboutique.com,,"Palo Alto, CA",yellowpages
Essentique,,+16508471469,http://essentique.com,,"Palo Alto, CA",yellowpages
Cassis,,+16503272997,https://www.lpetal.com/service,,"Palo Alto, CA",yellowpages
Aritzia,,+16506836073,https://www.aritzia.com/us/en/store,,"Palo Alto, CA",yellowpages
Brunello Cucinelli,,+16506136100,https://shop.brunellocucinelli.com/en-us,,"Palo Alto, CA",yellowpages
Crate & Barrel,,+16503217800,https://www.crateandbarrel.com/stores/stanford-shopping-center/str403,,"Palo Alto, CA",yellowpages
Stanford Shopping Center,,+16506178202,http://stanfordshoppingcenter16344785.localsearch.com,,"Palo Alto, CA",yellowpages
Lush Cosmetics Stanford Shopping Center - CLOSED,,+16503212479,https://www.lush.com/us/en_us/?y_source=1_ODM2OTIwMC01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,"Palo Alto, CA",yellowpages
Hudson Grace,,+16503287400,https://hudsongracesf.com/pages/hudson-grace-palo-alto-store,,"Palo Alto, CA",yellowpages
Sephora,,+16503275180,https://www.sephora.com/happening/home,,"Palo Alto, CA",yellowpages
United Nations Association Gift Shop,,+16503263170,https://www.unamidpen.org,,"Palo Alto, CA",yellowpages
